sku,description,ean,mpn,brand,title,promo_price,promo_qty,promo_expiry,currency,url,crawl_time,current_price,promo_data,model,retailer_sku_code,upc,price
,,,,,Samsung Galaxy Note5 (Dual SIM) SM-N9200 ,,,,,http://www.expansys.com.sg/samsung-galaxy-note5-dual-sim-sm-n9200-unlocked-lte-32gb-silver-titanium-281920/,,,,,,,
,,,,,LG V10 Dual-SIM H961N ,,,,,http://www.expansys.com.sg/lg-v10-dual-sim-h961n-unlocked-64gb-luxe-white-285219/,,,,,,,
,,,,,Motorola Moto X Style XT1572 ,,,,,http://www.expansys.com.sg/motorola-moto-x-style-xt1572-unlocked-32gb-black-284813/,,,,,,,
,,,,,LG V10 Dual-SIM H961N ,,,,,http://www.expansys.com.sg/lg-v10-dual-sim-h961n-unlocked-64gb-space-black-285211/,,,,,,,
,,,,,Samsung GALAXY A5 Dual SIM SM-A5000 ,,,,,http://www.expansys.com.sg/samsung-galaxy-a5-unlocked-lte-16gb-white-270608/,,,,,,,
,,,,,Samsung Galaxy Note5 (Dual SIM) SM-N9200 ,,,,,http://www.expansys.com.sg/samsung-galaxy-note5-dual-sim-sm-n9200-unlocked-lte-64gb-gold-platinum-284423/,,,,,,,
,,,,,Lenovo PHAB Plus Dual SIM PB1-770M ,,,,,http://www.expansys.com.sg/lenovo-phab-plus-dual-sim-unlocked-32gb-honey-gold-282719/,,,,,,,
,,,,,ASUS ZenFone 2 Deluxe Dual SIM - ZE551ML ,,,,,http://www.expansys.com.sg/asus-zenfone-2-deluxe-dual-sim-ze551ml-unlocked-lte-16gb-white-282123/,,,,,,,
,,,,,LG V10 Dual-SIM H961N ,,,,,http://www.expansys.com.sg/lg-v10-dual-sim-h961n-unlocked-64gb-leather-black-285212/,,,,,,,
,,,,,Motorola MOTO G (3rd Gen.) XT1541 ,,,,,http://www.expansys.com.sg/motorola-moto-g-3rd-gen-xt1541-unlocked-lte-8gb-black-280761/,,,,,,,
,,,,,Samsung Galaxy S6 Dual-SIM SM-G9200 ,,,,,http://www.expansys.com.sg/samsung-galaxy-s6-unlocked-lte-32gb-gold-platinum-274858/,,,,,,,
,,,,,BlackBerry® PRIV - STV100-3 ,,,,,http://www.expansys.com.sg/blackberry-priv-stv100-3-unlocked-32gb-black-285627/,,,,,,,
,,,,,LG G4 Dual-SIM H818N ,,,,,http://www.expansys.com.sg/lg-g4-dual-sim-h818n-unlocked-lte-32gb-genuine-leather-red-278532/,,,,,,,
,,,,,"YOTAPHONE 2 (YD201) LTE, 32GB, Black ",,,,,http://www.expansys.com.sg/yotaphone-2-yd201-lte-32gb-black-with-free-bumper-case-273215/,,,,,,,
