sku,description,ean,url,brand,offer,old_price,image_urls,currency,mfr,title,price,stock
281920,Samsung Galaxy Note5 (Dual SIM) SM-N9200 Features,8801643002053,http://www.expansys.com.sg/samsung-galaxy-note5-dual-sim-sm-n9200-unlocked-lte-32gb-silver-titanium-281920/,Samsung,Delivery fees from SG$15,,http://i1.expansys.com/img/b/281920/samsung-galaxy-note5-dual-sim-sm-n9200.jpg,SGD,AP_SM-N9200_32_SLV,Samsung Galaxy Note5 (Dual SIM) SM-N9200 ,SG$904,Stock is not in local warehouse
285605,BlackBerry® Passport SQW100-4: RHR191LW Features,802975061112,http://www.expansys.com.sg/blackberry-passport-unlocked-32gb-silver-285605/?partner=MKTGWEB&utm_campaign=banner-small-d&utm_medium=banner&utm_source=web,,Delivery fees from SG$15.00,,http://i2.expansys.com/img/b/285605/blackberry-passport.jpg,SGD,802975061198,BlackBerry® Passport SQW100-4: RHR191LW ,SG$714.99,Stock is not in local warehouse
284388,Motorola moto 360 (2nd Gen.) Features,6947681528086,http://www.expansys.com.sg/motorola-moto-360-2nd-generation-mens-46mm-case-cognac-leather-284388/,Motorola,Delivery fees from SG$16,,http://i2.expansys.com/img/b/284388/motorola-moto-360-2nd-generation.jpg,SGD,AP_SM4317AD6T1,Motorola moto 360 (2nd Gen.) ,SG$524,In Stock Now
273215,"YOTAPHONE 2 (YD201) LTE, 32GB, Black Features",4627080310469,http://www.expansys.com.sg/yotaphone-2-yd201-lte-32gb-black-with-free-bumper-case-273215/,,,,http://i2.expansys.com/img/b/273215/yotaphone-2-yd201-lte-32gb-black.jpg,SGD,,"YOTAPHONE 2 (YD201) LTE, 32GB, Black ",SG$842,Stock is not in local warehouse
268547,Google Nexus 9 Features,4718487661213,http://www.expansys.com.sg/google-nexus-9-tablet-unlocked-lte-32gb-indigo-black-268547/,Google,,,http://i2.expansys.com/img/b/268547/google-nexus-9-tablet.jpg,SGD,AP_NEXUS9LTE_BLK,Google Nexus 9 ,SG$649,In Stock Now
276493,SJCAM SJ5000 Plus WiFi Full HD Sports Camera Features,5055887324072,http://www.expansys.com.sg/sjcam-sj5000-plus-full-hd-sports-camera-gold-276493/,SJCAM,,,http://i1.expansys.com/img/b/276493/sjcam-sj5000-plus-full-hd-sports-camera.jpg,,AP_SJCAMSJ5000+_GD,SJCAM SJ5000 Plus WiFi Full HD Sports Camera ,,Pre-order to BE FIRST
285212,LG V10 Dual-SIM H961N Features,8806084998873,http://www.expansys.com.sg/lg-v10-dual-sim-h961n-unlocked-64gb-leather-black-285212/,LG,Delivery fees from SG$15,,http://i1.expansys.com/img/b/285212/lg-v10-dual-sim-h961n.jpg,SGD,AP_H961N_LTH_BLK,LG V10 Dual-SIM H961N ,SG$927,In Stock Now
286073,Samsung Gear S2 classic SM-R732 Features,8806088099231,http://www.expansys.com.sg/samsung-gear-s2-classic-dark-grey-286073/?partner=MKTGWEB&utm_campaign=banner-small-g&utm_medium=banner&utm_source=web,,Delivery fees from SG$15.00,,http://i1.expansys.com/img/b/286073/samsung-gear-s2-classic.jpg,SGD,8806088079578,Samsung Gear S2 classic SM-R732 ,SG$479.99,In Stock Now
273004,SJCAM SJ4000 WIFI Full HD Sports Camera Features,5055887315339,http://www.expansys.com.sg/sjcam-sj4000-wifi-full-hd-sports-camera-black-273004/,SJCAM,Delivery fees from SG$15.00,,http://i1.expansys.com/img/b/273004/sjcam-sj4000-wifi-full-hd-sports-camera.jpg,SGD,AP_SJCAMSJ4000WIFI_BK,SJCAM SJ4000 WIFI Full HD Sports Camera ,SG$118.03,In Stock Now
266790,GoPro HERO Action Cam Features,818279012279,http://www.expansys.com.sg/gopro-hero-action-cam-266790/,GoPro,Delivery fees from SG$11.00,,http://i1.expansys.com/img/b/266790/gopro-hero-action-cam.jpg,SGD,CAHEREU,GoPro HERO Action Cam,SG$234.09,Stock is not in local warehouse
265785,ASUS ZenWatch - WI500Q Features,WI500Q-1BRN0001,http://www.expansys.com.sg/asus-zenwatch-265785/,,Delivery fees from SG$11.00,,http://i2.expansys.com/img/b/265785/asus-zenwatch.jpg,SGD,,ASUS ZenWatch - WI500Q ,SG$180.99,In Stock Now
266786,GoPro HERO4 Black Features,818279013085,http://www.expansys.com.sg/gopro-hero4-black-standard-266786/,,Delivery fees from SG$15.00,,http://i2.expansys.com/img/b/266786/gopro-hero4-black.jpg,SGD,818279013085,GoPro HERO4 Black ,SG$700.64,In Stock Now
286073,Samsung Gear S2 classic SM-R732 Features,8806088099231,http://www.expansys.com.sg/samsung-gear-s2-classic-dark-grey-286073/,,Delivery fees from SG$15.00,,http://i1.expansys.com/img/b/286073/samsung-gear-s2-classic.jpg,SGD,8806088079578,Samsung Gear S2 classic SM-R732 ,SG$479.99,In Stock Now
265574,Sony Smartband Talk SWR30 Features,7311271504511,http://www.expansys.com.sg/sony-smartband-talk-with-2-black-wristbands-sl-265574/,Sony,Delivery fees from SG$11.00,,http://i1.expansys.com/img/b/265574/sony-smartband-talk.jpg,SGD,1291-6169,Sony Smartband Talk SWR30 ,SG$134.25,Stock is not in local warehouse
284387,Motorola moto 360 (2nd Gen.) Features,6947681528062,http://www.expansys.com.sg/motorola-moto-360-2nd-gen-mens-42mm-case-black-leather-284387/,Motorola,Delivery fees from SG$15.00,,http://i2.expansys.com/img/b/284387/motorola-moto-360-2nd-gen.jpg,SGD,AP_SM4318AN7T1,Motorola moto 360 (2nd Gen.) ,SG$424.99,Stock is not in local warehouse
241560,Sony SBH20 Stereo Bluetooth Headset Features,7311271409687,http://www.expansys.com.sg/sony-sbh20-stereo-bluetooth-headset-black-241560/,Sony,Delivery fees from SG$11.00,,http://i1.expansys.com/img/b/241560/sony-sbh20-stereo-bluetooth-headset.jpg,SGD,1270-7862.7,Sony SBH20 Stereo Bluetooth Headset ,SG$41.99,In Stock Now
281918,Samsung Galaxy S6 edge+ Dual-SIM SM-G9287 Features,8806086964081,http://www.expansys.com.sg/samsung-galaxy-s6-edge-dual-sim-sm-g9287-unlocked-lte-32gb-gold-platinum-281918/,Samsung,Delivery fees from SG$15.00,,http://i2.expansys.com/img/b/281918/samsung-galaxy-s6-edge-dual-sim-sm-g9287.jpg,SGD,AP_SM-G9287_32_GLD,Samsung Galaxy S6 edge+ Dual-SIM SM-G9287 ,SG$981.22,In Stock Now
276721,Microsoft Lumia 640 XL Dual SIM RM-1096 Features,6438158721425,http://www.expansys.com.sg/microsoft-lumia-640-xl-dual-sim-rm-1096-unlocked-lte-8gb-black-276721/,Microsoft,Delivery fees from SG$11.00,,http://i1.expansys.com/img/b/276721/microsoft-lumia-640-xl-dual-sim-rm-1096.jpg,SGD,AP_LUMIA640XL_BLK,Microsoft Lumia 640 XL Dual SIM RM-1096 ,SG$279.99,In Stock Now
281951,Samsung Galaxy S6 edge+ Dual-SIM SM-G9287 Features,8806086964357,http://www.expansys.com.sg/samsung-galaxy-s6-edge-dual-sim-sm-g9287-unlocked-lte-32gb-silver-titanium-281951/,Samsung,Delivery fees from SG$15.00,,http://i1.expansys.com/img/b/281951/samsung-galaxy-s6-edge-dual-sim-sm-g9287.jpg,SGD,AP_SM-G9287_32_SLV,Samsung Galaxy S6 edge+ Dual-SIM SM-G9287 ,SG$984.99,In Stock Now
270313,melkco i.mee Super SIM Kit Features,4894522002590,http://www.expansys.com.sg/melkco-i-mee-super-sim-kit-270313/,melkco,Delivery fees from SG$11.00,,http://i1.expansys.com/img/b/270313/melkco-i-mee-super-sim-kit.jpg,SGD,AP_SIM _KIT,melkco i.mee Super SIM Kit,SG$8.99,In Stock Now
